,form,station no,mir,БСП ЗА БЪЛГАРИЯ,БСП ЗА БЪЛГАРИЯ result,БСП ЗА БЪЛГАРИЯ result paper,БСП ЗА БЪЛГАРИЯ result machine,ГЕРБ-СДС,ГЕРБ-СДС result,ГЕРБ-СДС result paper,ГЕРБ-СДС result machine,ВЪЗРАЖДАНЕ,ВЪЗРАЖДАНЕ result,ВЪЗРАЖДАНЕ result paper,ВЪЗРАЖДАНЕ result machine,ПП ИМА ТАКЪВ НАРОД,ПП ИМА ТАКЪВ НАРОД result,ПП ИМА ТАКЪВ НАРОД result paper,ПП ИМА ТАКЪВ НАРОД result machine,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result paper,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА result machine,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result paper","КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ) result machine",Българско Национално Обединение,Българско Национално Обединение result,Българско Национално Обединение result paper,Българско Национално Обединение result machine,ЗАЕДНО,ЗАЕДНО result,ЗАЕДНО result paper,ЗАЕДНО result machine,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result paper,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД result machine,НДСВ,НДСВ result,НДСВ result paper,НДСВ result machine,КОД /Консервативно Обединение на Десницата/,КОД /Консервативно Обединение на Десницата/ result,КОД /Консервативно Обединение на Десницата/ result paper,КОД /Консервативно Обединение на Десницата/ result machine,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result paper,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ result machine,Движение за права и свободи – ДПС,Движение за права и свободи – ДПС result,Движение за права и свободи – ДПС result paper,Движение за права и свободи – ДПС result machine,ЛЕВИЦАТА!,ЛЕВИЦАТА! result,ЛЕВИЦАТА! result paper,ЛЕВИЦАТА! result machine,ПП БЪЛГАРСКИ ВЪЗХОД,ПП БЪЛГАРСКИ ВЪЗХОД result,ПП БЪЛГАРСКИ ВЪЗХОД result paper,ПП БЪЛГАРСКИ ВЪЗХОД result machine,МИР,МИР result,МИР result paper,МИР result machine,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result paper,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result machine,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result paper,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ result machine,ПП Глас Народен,ПП Глас Народен result,ПП Глас Народен result paper,ПП Глас Народен result machine,Социалистическа партия Български път,Социалистическа партия Български път result,Социалистическа партия Български път result paper,Социалистическа партия Български път result machine,ВЪН от ЕС и НАТО,ВЪН от ЕС и НАТО result,ВЪН от ЕС и НАТО result paper,ВЪН от ЕС и НАТО result machine,независим,независим result,независим result paper,независим result machine
0,26,010100001,1,1,42,15,27,2,101,49,52,3,52,15,37,4,18,0,18,5,2,0,2,6,3,2,1,7,1,0,1,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,77,18,59,13,3,1,2,14,6,0,6,15,9,2,7,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
1,26,010100002,1,1,56,28,28,2,94,55,39,3,29,7,22,4,14,0,14,5,1,0,1,6,2,0,2,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,72,7,65,13,2,1,1,14,3,1,2,15,10,3,7,16,1,1,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
2,26,010100003,1,1,31,16,15,2,110,51,59,3,33,7,26,4,11,0,11,5,1,1,0,6,0,0,0,7,1,0,1,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,45,6,39,13,1,1,0,14,9,3,6,15,7,4,3,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
3,26,010100004,1,1,61,25,36,2,114,66,48,3,28,8,20,4,8,0,8,5,3,1,2,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,76,8,68,13,2,1,1,14,7,1,6,15,1,0,1,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
4,26,010100005,1,1,56,12,44,2,96,37,59,3,37,3,34,4,5,1,4,5,2,0,2,6,0,0,0,7,0,0,0,8,1,0,1,9,1,0,1,10,0,0,0,11,1,0,1,12,46,5,41,13,4,2,2,14,7,0,7,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
5,26,010100006,1,1,39,13,26,2,77,39,38,3,32,4,28,4,10,3,7,5,0,0,0,6,4,3,1,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,54,7,47,13,0,0,0,14,6,2,4,15,5,0,5,16,1,0,1,17,0,0,0,18,2,0,2,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
6,26,010100007,1,1,50,19,31,2,105,59,46,3,36,11,25,4,12,1,11,5,0,0,0,6,1,1,0,7,0,0,0,8,1,1,0,9,0,0,0,10,0,0,0,11,1,0,1,12,40,3,37,13,0,0,0,14,2,0,2,15,8,0,8,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,1,0,22,,,
7,26,010100008,1,1,36,15,21,2,83,37,46,3,34,10,24,4,16,0,16,5,1,0,1,6,2,0,2,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,51,13,38,13,3,2,1,14,3,0,3,15,3,0,3,16,1,1,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
8,26,010100009,1,1,32,10,22,2,78,37,41,3,36,8,28,4,16,6,10,5,2,0,2,6,0,0,0,7,0,0,0,8,1,0,1,9,1,0,1,10,0,0,0,11,0,0,0,12,58,10,48,13,0,0,0,14,13,1,12,15,11,3,8,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
9,26,010100010,1,1,32,15,17,2,99,55,44,3,46,12,34,4,25,6,19,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,1,0,1,11,0,0,0,12,86,21,65,13,0,0,0,14,2,2,0,15,7,2,5,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
10,26,010100011,1,1,14,6,8,2,102,51,51,3,28,11,17,4,7,1,6,5,6,4,2,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,0,0,0,11,0,0,0,12,20,8,12,13,0,0,0,14,0,0,0,15,8,6,2,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,,,
11,26,010100012,1,1,39,20,19,2,97,34,63,3,51,12,39,4,28,0,28,5,3,0,3,6,0,0,0,7,0,0,0,8,1,0,1,9,0,0,0,10,1,0,1,11,0,0,0,12,46,9,37,13,1,0,1,14,12,5,7,15,8,3,5,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,1,0,1,22,,,
