,form,station no,mir?,ДПС,ДПС result,БСДД,БСДД result,БНО,БНО result,НДЕ,НДЕ result,ВМРО,ВМРО result,КСБ,КСБ result,ПД,ПД result,НФСБ,НФСБ result,ПП,ПП result,МИР,МИР result,КОД,КОД result,БТР,БТР result,КТБ,КТБ result,ВЪЗР,ВЪЗР result,БВ,БВ result,БНС,БНС result,ИС,ИС result,ДНК,ДНК result,ИТН,ИТН result,ГН,ГН result,ПРАВОТО,ПРАВОТО result,НПИСА,НПИСА result,ГЕРБ-СДС,ГЕРБ-СДС result,ДБ,ДБ result,ЕВРОЛЕВИЦА,ЕВРОЛЕВИЦА result,АТАКА,АТАКА result,БСП,БСП result,РВО,РВО result,независим,независим result
0,32,010100001,1,1,2,2,0,3,0,4,2,5,1,6,1,7,2,8,1,9,72,10,0,11,1,12,0,13,0,14,30,15,22,16,0,17,2,18,1,19,10,20,0,22,0,23,0,24,84,25,14,26,0,27,1,28,38,29,1,30,
1,32,010100002,1,1,1,2,1,3,0,4,1,5,2,6,0,7,1,8,0,9,70,10,0,11,1,12,0,13,1,14,21,15,15,16,1,17,4,18,2,19,11,20,1,22,0,23,0,24,82,25,9,26,2,27,0,28,40,29,2,30,
2,32,010100003,1,1,0,2,0,3,0,4,0,5,1,6,0,7,0,8,0,9,41,10,0,11,2,12,2,13,0,14,22,15,13,16,0,17,2,18,0,19,5,20,0,22,0,23,0,24,85,25,6,26,0,27,0,28,30,29,0,30,
3,32,010100004,1,1,1,2,0,3,0,4,0,5,1,6,0,7,0,8,1,9,57,10,0,11,0,12,0,13,0,14,21,15,8,16,0,17,0,18,1,19,4,20,1,22,0,23,0,24,114,25,24,26,1,27,0,28,45,29,0,30,
4,32,010100005,1,1,1,2,0,3,0,4,0,5,2,6,1,7,2,8,1,9,46,10,0,11,0,12,0,13,0,14,19,15,13,16,0,17,5,18,2,19,2,20,2,22,1,23,0,24,84,25,15,26,1,27,0,28,46,29,1,30,
5,32,010100006,1,1,0,2,1,3,2,4,0,5,1,6,4,7,1,8,0,9,44,10,2,11,0,12,0,13,1,14,16,15,31,16,0,17,1,18,2,19,10,20,0,22,0,23,0,24,62,25,16,26,1,27,2,28,29,29,1,30,
6,32,010100007,1,1,4,2,0,3,0,4,0,5,1,6,0,7,0,8,0,9,49,10,1,11,1,12,0,13,1,14,31,15,19,16,0,17,3,18,3,19,5,20,0,22,0,23,0,24,103,25,12,26,1,27,0,28,35,29,0,30,
7,32,010100008,1,1,0,2,1,3,1,4,1,5,2,6,0,7,0,8,0,9,50,10,0,11,0,12,0,13,0,14,27,15,13,16,0,17,2,18,0,19,10,20,0,22,0,23,0,24,83,25,10,26,0,27,2,28,26,29,0,30,
8,32,010100009,1,1,1,2,0,3,1,4,1,5,4,6,0,7,0,8,0,9,59,10,0,11,0,12,0,13,0,14,29,15,13,16,0,17,5,18,0,19,12,20,0,22,0,23,0,24,87,25,12,26,1,27,1,28,13,29,0,30,
9,32,010100010,1,1,1,2,0,3,0,4,0,5,4,6,0,7,0,8,0,9,65,10,2,11,0,12,0,13,0,14,26,15,24,16,0,17,0,18,1,19,15,20,0,22,0,23,0,24,93,25,19,26,0,27,0,28,24,29,0,30,
10,32,010100011,1,1,18,2,2,3,1,4,1,5,2,6,2,7,0,8,0,9,23,10,2,11,0,12,0,13,1,14,21,15,3,16,0,17,1,18,1,19,4,20,1,22,1,23,0,24,87,25,2,26,0,27,0,28,12,29,1,30,
11,32,010100012,1,1,2,2,0,3,1,4,0,5,5,6,1,7,1,8,0,9,49,10,0,11,0,12,0,13,0,14,35,15,9,16,1,17,2,18,2,19,25,20,0,22,0,23,0,24,99,25,11,26,1,27,0,28,28,29,0,30,
12,32,010100013,1,1,0,2,0,3,0,4,1,5,3,6,1,7,0,8,1,9,34,10,0,11,0,12,0,13,1,14,25,15,14,16,0,17,1,18,1,19,8,20,0,22,0,23,0,24,51,25,10,26,0,27,0,28,15,29,0,30,
13,32,010100013,1,1,0,2,2,3,0,4,2,5,1,6,0,7,0,8,0,9,31,10,0,11,1,12,0,13,0,14,32,15,14,16,0,17,1,18,0,19,9,20,0,22,0,23,0,24,65,25,7,26,1,27,0,28,23,29,2,30,
14,32,010100014,1,1,0,2,1,3,0,4,0,5,2,6,0,7,0,8,0,9,50,10,1,11,0,12,0,13,0,14,24,15,54,16,0,17,3,18,1,19,5,20,0,22,0,23,0,24,114,25,13,26,1,27,1,28,28,29,1,30,
